,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
ECM_6_FM_Estimated Installation Cost,$55,,,,,,,,"$19,500",,,,,,,,,,,,,,,,,,,$300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_Estimated NYSERDA Incentives,$0,,,,,,,,$0,,,,,,,,,,,,,,,,,,,$100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_Life-Cycle Cost Savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_Life-Cycle Cost Savings After Incentives,"$2,384",,,,,,,,"$6,416",,,,,,,,,,,,,,,,,,,$429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_ROI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_ROI After Incentives,4334%,,,,,,,,33%,,,,,,,,,,,,,,,,,,,215%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_S imple Payback (Years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_S imple Payback After Incentives (Years),,,,,,,,,3.17,,,,,,,,,,,,,,,,,,,2.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_6_FM_Simple Payback After Incentives (Years),0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7,LowFlowSinkAerators,,,,,,,,EnergyManagementSystemInstallation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_EM_% Savings Opportunity,0.6%,,,,,,,,7913%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_EM_Carbon Reduction (Tonnes),0.21,,,,,,,,68.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_EM_Estimated Annual Electric Savings(kWh),679,,,,,,,,"30,432",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_EM_Estimated Annual Fuel Savings (MMBtu),0.0,,,,,,,,"1,092.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_Estimated Annual $ Savings,$170,,,,,,,,"$15,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_Estimated Installation Cost,$330,,,,,,,,"$117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_Estimated NYSERDA Incentives,$0,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_Life-Cycle Cost Savings After Incentives,"$1,317",,,,,,,,"$13,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_ROI After Incentives,399%,,,,,,,,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_S imple Payback After Incentives (Years),,,,,,,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_7_FM_Simple Payback After Incentives (Years),1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8,ComputerPowerManagementSoftware,,,,,,,,DemandControlVentilation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_EM_% Savings Opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_EM_Carbon Reduction (Tonnes),,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_EM_Estimated Annual Electric Savings(kWh),,,,,,,,,883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_EM_Estimated Annual Fuel Savings (MMBtu),,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_FM_Estimated Annual $ Savings,,,,,,,,,$191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_FM_Estimated Installation Cost,,,,,,,,,"$1,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_FM_Estimated NYSERDA Incentives,,,,,,,,,$200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_FM_Life-Cycle Cost Savings After Incentives,,,,,,,,,$306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_FM_ROI After Incentives,,,,,,,,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_8_FM_S imple Payback After Incentives (Years),,,,,,,,,5.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9,,,,,,,,,LowFlowHotWaterDeviceInstallations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_EM_% Savings Opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_EM_Carbon Reduction (Tonnes),,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_EM_Estimated Annual Electric Savings(kWh),,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_EM_Estimated Annual Fuel Savings (MMBtu),,,,,,,,,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_FM_Estimated Annual $ Savings,,,,,,,,,$162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_FM_Estimated Installation Cost,,,,,,,,,$150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_FM_Estimated NYSERDA Incentives,,,,,,,,,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_FM_Life-Cycle Cost Savings After Incentives,,,,,,,,,"$1,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_FM_ROI After Incentives,,,,,,,,,696%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECM_9_FM_S imple Payback After Incentives (Years),,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EUICE_Site Energy Use Intensity_National Median,78.8,41.2,78.8,78.8,36.8,223.8,78.8,78.8,78.8,36.8,36.8,,36.8,36.8,36.8,78.8,36.8,36.8,36.8,36.8,78.8,36.8,36.8,36.8,67.3,36.8,36.8,36.8,36.8,41.2,78.8,78.8,36.8,36.8,36.8,36.8,45.3,36.8,67.3,36.8,36.8,36.8,36.8,78.8,36.8,36.8,36.8,67.3,59.6,36.8,47.1,36.8,,36.8,78.8,36.8,78.8,70.9,78.8,36.8,78.8,45.3,36.8,67.3,45.3,36.8,36.8,78.8,,,36.8,,67.3,223.8,,44.4,49.6,49.6,67.3,,,36.8,49.6,,,41.2,223.8,192.9,78.8,223.8,36.8,59.6,36.8,,78.8,78.8,36.8,36.8,36.8,67.3,36.8,45.3,36.8
EUICE_Site Energy Use Intensity_Property,175.5,92.2,95.8,43.6,26.3,606.7,75.5,75.5,164.3,56.5,68.3,,72.5,75.5,39.7,85.2,105.6,63.3,60.8,115.9,196.6,169.1,30.5,142.3,20.2,9.8,94.9,122.6,54.8,150.5,57.4,119.2,25.3,76.6,238.5,33.3,164.1,297.2,205.5,72.3,133.4,72.1,105.0,179.1,64.1,48.6,98.7,65.8,40.1,83.8,97.9,230.2,101.8,165.7,282.5,58.9,72.6,18.3,348.8,145.1,97.0,39.0,76.4,22.5,8.4,56.2,83.7,81.3,,339.0,91.1,78.3,35.7,223.4,,29.1,213.7,218.1,153.1,,128.1,192.1,498.5,70.0,660.0,70.8,628.2,283.7,22.8,196.0,38.2,106.7,214.9,,41.5,41.5,68.7,67.9,172.4,60.9,15.5,215.9,57.2
EUICE_Source Energy Use Intensity_National Median,123.1,96.8,123.1,123.1,70.7,432.0,123.1,123.1,123.1,70.7,70.7,,70.7,70.7,70.7,123.1,70.7,70.7,70.7,70.7,123.1,70.7,70.7,70.7,148.1,70.7,70.7,70.7,70.7,96.8,123.1,123.1,70.7,70.7,70.7,70.7,85.1,70.7,148.1,70.7,70.7,70.7,70.7,123.1,70.7,70.7,70.7,148.1,141.4,70.7,114.4,70.7,,70.7,123.1,70.7,123.1,145.7,123.1,70.7,123.1,85.1,70.7,148.1,85.1,70.7,70.7,123.1,,,70.7,,148.1,432.0,,116.7,100.4,100.4,148.1,,,70.7,100.4,,,96.8,432.0,536.3,123.1,432.0,70.7,141.4,70.7,,123.1,123.1,70.7,70.7,70.7,148.1,70.7,85.1,70.7
EUICE_Source Energy Use Intensity_Property,249.8,289.5,115.8,82.7,82.6,983.7,141.3,141.3,214.3,67.9,91.8,,90.6,98.2,65.0,90.6,180.9,81.2,74.9,159.5,270.2,227.9,38.7,210.5,63.6,30.6,126.5,174.7,61.3,182.0,88.4,139.0,31.0,91.5,341.5,59.3,210.8,406.8,281.1,95.9,160.8,89.3,150.3,189.9,88.7,96.2,145.7,84.3,125.9,122.1,138.2,378.7,118.6,231.0,579.9,84.5,92.0,45.6,558.8,219.0,133.8,122.4,87.2,70.6,26.5,83.6,94.3,93.3,,428.0,158.0,87.7,81.7,343.8,,91.4,355.0,311.2,215.7,,402.2,440.2,613.7,92.7,1135.0,117.4,1148.7,693.8,71.6,321.8,54.2,177.3,280.5,,52.2,52.2,88.8,96.7,174.2,147.4,39.0,677.9,68.2
EUICR_Site Energy Use Intensity_National Median,78.8,41.2,78.8,78.8,36.8,223.8,78.8,78.8,78.8,36.8,36.8,,36.8,36.8,36.8,78.8,36.8,36.8,36.8,36.8,,36.8,36.8,36.8,67.3,36.8,36.8,36.8,36.8,41.2,78.8,78.8,36.8,36.8,36.8,36.8,45.3,36.8,67.3,36.8,36.8,36.8,36.8,78.8,36.8,36.8,36.8,,59.6,36.8,47.1,36.8,,36.8,78.8,36.8,78.8,70.9,78.8,36.8,78.8,45.3,36.8,67.3,45.3,36.8,36.8,78.8,36.8,,36.8,,67.3,,,44.4,,49.6,67.3,,,36.8,49.6,,,,223.8,192.9,78.8,,36.8,59.6,,,78.8,78.8,,36.8,,67.3,36.8,45.3,
EUICR_Site Energy Use Intensity_Property,141.0,67.8,81.4,40.0,24.1,585.7,69.4,69.4,119.4,55.3,64.8,,63.7,64.4,37.0,79.4,89.4,56.3,53.3,109.8,,151.8,28.7,115.4,16.0,8.4,86.6,107.3,52.4,138.4,45.6,112.7,18.5,52.2,232.0,31.2,114.3,231.1,168.8,69.4,113.0,66.6,76.7,134.8,56.4,42.0,94.2,,35.1,75.4,93.4,126.9,90.9,147.4,259.5,45.8,69.7,15.6,316.9,122.9,92.8,29.9,62.4,20.4,7.1,50.7,67.4,74.1,64.6,312.5,59.9,54.6,32.2,,,28.6,,191.7,127.4,,114.9,136.5,316.4,58.6,629.9,,616.3,265.0,18.7,,22.3,85.1,,,23.1,23.1,,63.5,103.9,58.5,10.4,162.8,
EUICR_Source Energy Use Intensity_National Median,123.1,96.8,123.1,123.1,70.7,432.0,123.1,123.1,123.1,70.7,70.7,,70.7,70.7,70.7,123.1,70.7,70.7,70.7,70.7,,70.7,70.7,70.7,148.1,70.7,70.7,70.7,70.7,96.8,123.1,123.1,70.7,70.7,70.7,70.7,85.1,70.7,148.1,70.7,70.7,70.7,70.7,123.1,70.7,70.7,70.7,,141.4,70.7,114.4,70.7,,70.7,123.1,70.7,123.1,145.7,123.1,70.7,123.1,85.1,70.7,148.1,85.1,70.7,70.7,123.1,70.7,,70.7,,148.1,,,116.7,,100.4,148.1,,,70.7,100.4,,,,432.0,536.3,123.1,,70.7,141.4,,,123.1,123.1,,70.7,,148.1,70.7,85.1,
EUICR_Source Energy Use Intensity_Property,200.4,212.7,99.2,71.4,75.8,917.8,126.7,126.7,156.0,64.3,81.0,,77.3,80.0,57.9,87.2,154.5,64.1,63.5,148.2,,197.9,36.7,151.0,50.3,26.4,112.0,145.8,57.6,164.0,63.0,127.0,22.7,62.5,331.9,56.4,148.0,320.8,221.5,88.1,134.2,80.2,96.1,143.1,77.3,79.0,131.6,,110.3,96.0,126.0,248.1,101.9,197.5,527.7,66.3,84.4,29.8,504.9,184.6,125.8,93.8,69.7,64.1,22.3,71.9,73.0,83.3,92.8,367.6,115.8,61.3,70.7,,,89.8,,228.4,180.0,,360.9,270.0,398.5,76.3,1060.8,,1117.0,646.5,58.6,,30.0,125.5,,,30.4,30.4,,82.8,104.9,140.1,23.9,511.3,
GBD_Annual_Days in Period,365,,365,365,,365,365,365,365,365,365,,365,365,365,,365,365,365,365,365,,365,365,,,365,365,365,,365,,,365,365,365,365,365,365,,365,365,,,365,365,365,365,,365,365,365,365,365,365,365,365,365,365,365,365,,365,,,365,365,365,,365,,365,365,365,365,,365,365,365,365,,365,365,365,365,365,365,365,,365,365,365,365,365,365,365,365,365,,365,365,,365
GBD_Annual_Fuel Cost,"$6,081",,$716,"$2,222",,"$13,636","$9,805","$9,805","$76,906",$186,"$2,619",,"$1,954","$3,333",$605,,"$2,407",$414,"$1,134",$292,$663,,"$1,238","$4,824",,,"$8,830","$4,869","$8,503",,"$6,962",,,"$4,668","$16,734",$648,"$13,947",$817,"$6,407",,$482,"$2,076",,,"$5,524","$1,132","$2,015","$2,304",,"$8,698","$1,800","$3,170","$5,550",$554,"$6,440",$90,"$1,765",$869,"$13,835","$10,187","$1,504",,"$2,990",,,"$4,715",$891,"$3,464",,"$8,461",,"$5,610","$1,991","$3,840","$2,266",,"$2,487","$4,471","$5,204",$742,,"$3,783","$3,255","$2,076","$6,848","$1,356","$4,500","$1,827",,"$10,053",$605,"$5,884","$5,554","$2,409","$1,750","$1,750","$7,694",$492,,"$3,842",$404,,"$6,831"
GBD_Annual_Natural GasUsage(Therms),"3,329",,415,"1,298",,"9,697","12,053","12,053","93,807",17,"2,228",,"2,051","3,789",344,,"1,587",122,596,78,351,,921,"5,427",,,"8,373","5,437","9,466",,"7,750",,,"5,129","20,314","1,358","12,085",341,"4,880",,352,"1,967",,,"5,240",674,"1,948","1,686",,"8,091","1,605","3,034","7,018",243,"6,697",73,"1,748",706,"16,175","10,204","1,455",,"2,629",,,"4,892",471,"3,175",,"6,608",,"5,325","1,457","3,423","2,042",,"1,210","2,681","2,537",368,,"3,896","8,196","1,766","6,728",502,"3,153",943,,"8,428",243,"6,167","5,802","2,315","1,471","1,471","3,289",138,,"3,327",236,,"3,249"
GBD_Annual_TRC Estimated Usage?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBD_M10_Days in Period,29,,36,34,,39,30,30,29,,30,,28,30,31,,29,30,122,25,25,,32,30,,,29,29,28,,28,,,31,30,32,32,31,31,,30,30,,,30,29,30,32,,21,29,29,30,32,30,30,30,30,30,30,30,,28,,,30,32,,,29,,30,29,30,28,,30,31,32,29,,30,28,21,32,33,33,33,,31,30,31,29,29,29,29,29,29,,30,29,,34
GBD_M10_Fuel Cost,$71,,$85,$510,,$913,"$2,236","$2,236","$15,283",,$446,,$341,$686,$51,,$374,$36,$345,$39,$87,,$151,$544,,,$142,$192,"$1,300",,"$1,064",,,$185,$64,$48,$64,$22,$40,,$31,$48,,,$22,$48,$27,$832,,$61,$64,$89,$82,$27,$285,$9,$32,$0,$403,$75,$36,,$20,,,$30,$69,,,$77,,$27,$38,$306,$83,,$133,$485,$112,$31,,$59,$224,$18,$569,$44,$354,$571,,$559,$23,$33,$32,$43,$32,$32,$86,$58,,$127,$31,,$928
GBD_M10_Natural GasUsage(Therms),31,,50,390,,731,"2,780","2,780","19,419",,429,,384,817,26,,321,11,185,7,22,,119,667,,,96,199,"1,447",,"1,185",,,178,35,89,19,2,0,,22,20,,,0,9,2,34,,31,29,64,68,7,312,7,18,0,496,50,15,,0,,,30,35,,,40,,8,7,248,51,,47,252,0,10,,37,536,2,555,0,227,463,,413,2,9,10,22,11,11,60,16,,106,17,,434
GBD_M10_Period Ending,10/8/14,,1/31/15,1/13/15,,1/8/15,1/30/15,1/30/15,2/18/15,,1/30/15,,1/30/15,1/30/15,2/23/15,,2/6/15,3/5/15,1/9/15,3/25/15,3/25/15,,4/15/15,4/8/15,,,5/12/15,5/7/15,3/15/15,,3/15/15,,,5/18/15,6/10/15,6/8/15,6/1/15,6/29/15,7/13/15,,6/5/15,6/5/15,,,7/23/15,7/1/15,6/29/15,5/21/15,,7/7/14,6/30/15,8/4/15,7/8/15,7/20/15,7/22/15,6/4/15,6/4/15,6/4/15,7/22/15,7/10/15,7/16/15,,10/3/13,,,8/18/15,6/1/15,,,8/26/15,,9/24/15,8/29/12,4/30/14,6/30/14,,6/20/14,4/21/14,9/23/14,7/9/14,,7/18/14,7/3/14,7/7/14,7/22/14,7/22/14,7/22/14,7/22/14,,7/17/14,9/24/14,7/24/14,8/21/14,9/4/14,9/9/14,9/9/14,9/3/14,9/10/14,,10/30/14,11/19/14,,12/9/14
GBD_M10_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,Yes,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M11_Days in Period,29,,25,28,,32,31,31,28,,31,,31,31,29,,31,29,32,30,30,,28,29,,,30,32,34,,34,,,30,30,32,29,30,18,,32,32,,,29,30,30,18,,30,30,29,29,29,30,32,32,32,30,31,29,,29,,,30,29,,,30,,32,29,33,31,,32,30,30,30,,31,33,38,29,30,30,28,,27,30,28,32,29,29,29,29,30,,33,30,,30
GBD_M11_Fuel Cost,$72,,$86,$409,,"$1,142","$2,062","$2,062","$12,749",,$546,,$409,$720,$51,,$415,$35,$107,$16,$26,,$82,$188,,,$142,$61,$733,,$600,,,$84,$30,$42,$39,$24,$23,,$43,$44,,,$21,$47,$27,included,,$192,$60,$96,$39,$44,$261,$0,$25,$0,$393,$71,$36,,$112,,,$150,$57,,,$86,,$149,$77,$233,$87,,$128,$319,$139,$35,,$60,$222,$31,$448,$40,$295,$82,,$487,$25,$37,$35,$50,$51,$51,$164,$26,,$357,$34,,$983
GBD_M11_Natural GasUsage(Therms),32,,71,291,,965,"2,770","2,770","16,505",,593,,503,929,27,,380,11,61,6,30,,46,194,,,99,30,816,,668,,,56,6,65,2,4,0,,35,18,,,0,7,3,11,,154,22,73,18,22,277,0,12,0,477,66,15,,80,,,150,28,,,47,,139,45,171,53,,45,147,8,10,,35,564,3,486,0,201,26,,390,4,14,11,29,28,28,70,8,,398,21,,441
GBD_M11_Period Ending,11/6/14,,2/25/15,2/10/15,,2/9/15,3/2/15,3/2/15,3/18/15,,3/2/15,,3/2/15,3/2/15,3/24/15,,3/9/15,4/3/15,2/10/15,4/24/15,4/24/15,,5/13/15,5/7/15,,,6/11/15,6/8/15,4/16/15,,4/16/15,,,6/17/15,7/10/15,7/10/15,6/30/15,7/29/15,7/31/15,,7/7/15,7/7/15,,,8/21/15,7/31/15,7/29/15,6/22/15,,8/6/14,7/30/15,9/2/15,8/6/15,8/18/15,8/21/15,7/6/15,7/6/15,7/6/15,8/21/15,8/10/15,8/14/15,,11/1/13,,,9/18/15,6/30/15,,,9/25/15,,10/26/15,9/27/12,6/2/14,7/31/14,,7/22/14,5/21/14,10/23/14,8/8/14,,8/18/14,8/5/14,8/14/14,8/20/14,8/21/14,8/21/14,8/19/14,,8/13/14,10/24/14,8/21/14,9/22/14,10/3/14,10/8/14,10/8/14,10/2/14,10/10/14,,12/2/14,12/19/14,,1/8/15
GBD_M11_TRC Estimated Usage?,,,No,,,,,,,,,,,,,,no,,,,,,,,,,,,Yes,,Yes,,,,,No,,,,,,,,,,no,,,,,,,,,,yes,,yes,,no,,,,,,Yes,No,,,,,,,,,,,,no,,,,,no,,,,,,,,,,,,,,,,,,,
GBD_M12_Days in Period,34,,33,30,,30,29,29,33,,29,,29,29,30,,30,31,30,32,32,,33,32,,,32,30,26,,26,,,30,31,27,30,,11,,29,29,,,32,32,29,29,,29,32,30,33,30,31,29,29,29,31,32,33,,33,,,30,30,,,31,,29,33,28,28,,30,29,29,31,,30,29,21,30,31,28,30,,30,7,32,30,32,30,30,41,31,,31,34,,32
GBD_M12_Fuel Cost,$88,,$127,$447,,$845,"$1,064","$1,064","$7,443",,$335,,$248,$412,$53,,$205,$37,$123,$17,$26,,$29,$78,,,$143,$42,$560,,$459,,,$80,$27,$41,$41,,$14,,$30,$38,,,$24,$51,$26,$430,,$76,$65,$112,$44,$36,$264,$0,$33,$0,$390,$83,$41,,$306,,,$200,$49,,,$250,,$458,$182,$183,$71,,$113,$108,$472,$35,,$59,$174,$18,$426,$37,$261,$92,,$471,$5,$23,$31,$130,$93,$93,$439,$28,,$512,$44,,"$1,342"
GBD_M12_Natural GasUsage(Therms),40,,71,334,,690,"1,511","1,511","9,041",,331,,308,551,30,,178,12,75,7,27,,16,44,,,111,17,624,,511,,,53,1,71,3,,0,,20,14,,,0,7,1,6,,42,25,93,20,15,280,0,20,0,471,40,17,,297,,,200,25,,,178,,412,154,143,46,,41,35,248,10,,37,426,2,496,0,187,31,,398,0,0,9,119,66,66,264,11,,529,29,,636
GBD_M12_Period Ending,12/10/14,,3/31/15,3/12/15,,3/11/15,3/31/15,3/31/15,4/20/15,,3/31/15,,3/31/15,3/31/15,4/23/15,,4/8/15,5/4/15,3/12/15,5/26/15,5/26/15,,6/15/15,6/8/15,,,7/13/15,7/8/15,5/12/15,,5/12/15,,,7/17/15,8/10/15,8/6/15,7/30/15,,8/11/15,,8/5/15,8/5/15,,,9/22/15,9/1/15,8/28/15,7/10/15,,9/4/14,8/31/15,10/2/15,9/8/15,9/17/15,9/21/15,8/4/15,8/4/15,8/4/15,9/21/15,9/11/15,9/16/15,,12/4/13,,,10/18/15,7/30/15,,,10/26/15,,11/24/15,10/26/12,6/30/14,8/28/14,,8/21/14,6/19/14,11/21/14,9/8/14,,9/17/14,9/3/14,9/4/14,9/19/14,9/21/14,9/18/14,9/18/14,,9/12/14,10/31/14,9/22/14,10/22/14,11/4/14,11/7/14,11/7/14,11/12/14,11/10/14,,1/2/15,1/22/15,,2/9/15
