,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
2FBD_M1_OilUsage(Gallons),852,,646,,,,,,,,,100,,,289,,,237,,101,194,,,,,,,,,,,,,,,565,,587,,,,,,,,,,,,,,"2,500",,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,,,,,,,150,,,,,,,,150,,,,
2FBD_M1_Period Ending,1/21/14,,3/26/13,,,,,,,,,1/15/14,,,9/30/14,,,11/19/14,,11/6/14,11/6/14,,,,,,,,,,,,,,,2/1/14,,10/22/14,,,,,,,,,,,,,,12/13/14,,,,3/26/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/1/13,,,,,,,12/11/13,,,,,,,,3/19/13,,,,
2FBD_M1_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,
2FBD_M2_Days in Period,28,,227,,,,,,,,,16,,,76,,,28,171,37,36,,,,,,,,,,,,,,,18,,29,,,,,,,,,,,,,,52,,,,35,,,,,,,,,,,66,,,,,,,,,,,,,,,,,41,,,,,,,37,,,,,,,,263,,,,
2FBD_M2_Fuel Cost,"$4,355",,"$1,600",,,,,,,,,"$1,239",,,"$2,615",,,"$1,173","$1,345",$796,$569,,,,,,,,,,,,,,,"$4,399",,"$1,618",,,,,,,,,,,,,,"$4,909",,,,"$1,827",,,,,,,,,,,$203.86,,,,,,,,,,,,,,,,,"$1,654",,,,,,,$586,,,,,,,,$616,,,,
2FBD_M2_OilUsage(Gallons),"1,300",,462,,,,,,,,,281,,,701,,,317,400,283,202,,,,,,,,,,,,,,,"1,000",,405,,,,,,,,,,,,,,"2,500",,,,501,,,,,,,,,,,104,,,,,,,,,,,,,,,,,426,,,,,,,150,,,,,,,,150,,,,
2FBD_M2_Period Ending,2/18/14,,11/8/13,,,,,,,,,1/31/14,,,12/15/14,,,12/17/14,10/6/14,12/13/14,12/12/14,,,,,,,,,,,,,,,2/19/14,,11/20/14,,,,,,,,,,,,,,2/3/15,,,,4/30/14,,,,,,,,,,,12/31/14,,,,,,,,,,,,,,,,,12/12/13,,,,,,,1/17/14,,,,,,,,12/7/13,,,,
2FBD_M2_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
2FBD_M3_Days in Period,14,,42,,,,,,,,,10,,,44,,,24,63,30,27,,,,,,,,,,,,,,,299,,20,,,,,,,,,,,,,,34,,,,147,,,,,,,,,,,31,,,,,,,,,,,,,,,,,34,,,,,,,21,,,,,,,18,59,,,,
2FBD_M3_Fuel Cost,"$4,412",,"$2,435",,,,,,,,,$677,,,"$2,924",,,$945,"$1,195",$632,$383,,,,,,,,,,,,,,,"$3,548",,"$1,522",,,,,,,,,,,,,,"$3,871",,,,"$2,401",,,,,,,,,,,"$10,379",,,,,,,,,,,,,,,,,"$2,892",,,,,,,$838,,,,,,,"$1,080",$677,,,,
2FBD_M3_OilUsage(Gallons),"1,303",,662,,,,,,,,,150,,,900,,,342,400,263,160,,,,,,,,,,,,,,,934,,401,,,,,,,,,,,,,,"2,001",,,,700,,,,,,,,,,,"4,634",,,,,,,,,,,,,,,,,732,,,,,,,199,,,,,,,300,150,,,,
2FBD_M3_Period Ending,3/4/14,,12/20/13,,,,,,,,,2/10/14,,,1/28/15,,,1/10/15,12/8/14,1/12/15,1/8/15,,,,,,,,,,,,,,,12/15/14,,12/10/14,,,,,,,,,,,,,,3/9/15,,,,9/24/14,,,,,,,,,,,1/31/15,,,,,,,,,,,,,,,,,1/15/14,,,,,,,2/7/14,,,,,,,12/10/13,2/4/14,,,,
2FBD_M3_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,No,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
2FBD_M4_Days in Period,16,,31,,,,,,,,,12,,,30,,,21,32,18,21,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,28,,,,,,,,,,,,,,,,,34,,,,,,,27,,,,,,,17,82,,,,
2FBD_M4_Fuel Cost,"$3,385",,"$3,303",,,,,,,,,$453,,,"$3,059",,,$944,$915,$461,$400,,,,,,,,,,,,,,,,,"$1,413",,,,,,,,,,,,,,,,,,"$2,892",,,,,,,,,,,"$10,448",,,,,,,,,,,,,,,,,"$3,016",,,,,,,$720,,,,,,,"$1,080",$437,,,,
2FBD_M4_OilUsage(Gallons),"1,000",,889,,,,,,,,,101,,,900,,,351,350,200,172,,,,,,,,,,,,,,,,,382,,,,,,,,,,,,,,,,,,904,,,,,,,,,,,"4,107",,,,,,,,,,,,,,,,,705,,,,,,,200,,,,,,,300,102,,,,
2FBD_M4_Period Ending,3/20/14,,1/20/14,,,,,,,,,2/22/14,,,2/27/15,,,1/31/15,1/9/15,1/30/15,1/29/15,,,,,,,,,,,,,,,,,12/17/14,,,,,,,,,,,,,,,,,,11/10/14,,,,,,,,,,,2/28/15,,,,,,,,,,,,,,,,,2/18/14,,,,,,,3/6/14,,,,,,,12/27/13,4/27/14,,,,
2FBD_M4_TRC Estimated Usage?,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,No,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,
