,AnnualElectricSavings(kWh),AnnualGasSavings(Therms),AnnualOilSavings(Gallons),Cost-WeightedLifetime,ECM#,EnergyConservationMeasure,EstimatedAnnual$Savings,EstimatedInstallationCost,EstimatedNYSERDAIncentives,EstimatedPSEGLIIncentives,Life-CycleCostSavings,Life-CycleCostSavingsAfterIncentives,PeakDemandSavings(kW),ROIAfterIncentives,SimplePayback(Years),SimplePaybackAfterIncentive(Years),address,Input.borough,Input.address,Answer.bbl,Answer.x,Answer.y
477,"4,699",,,,1,Lighting Upgrades,"$1,043","$6,237",$0,,"$3,892","$3,892",,62%,5.98,5.98,"188 Beach 84th Street, Far Rockaway, NY, 11693",Queens,"188 Beach 84th Street, Far Rockaway, NY, 11693",4161300035.0,1037192,153277
478,"4,699",,,,1,Lighting Upgrades,"$1,043","$6,237",$0,,"$3,892","$3,892",,62%,5.98,5.98,"188 Beach 84th Street, Far Rockaway, NY, 11693",Queens,"188 Beach 84th Street, Far Rockaway, NY, 11693",4161300035.0,1037192,153277
479,150,,,,2,Remove Refrigerator,$33,$0,$0,,$279,$279,,immediate,0.00,0.00,"188 Beach 84th Street, Far Rockaway, NY, 11693",Queens,"188 Beach 84th Street, Far Rockaway, NY, 11693",4161300035.0,1037192,153277
480,150,,,,2,Remove Refrigerator,$33,$0,$0,,$279,$279,,immediate,0.00,0.00,"188 Beach 84th Street, Far Rockaway, NY, 11693",Queens,"188 Beach 84th Street, Far Rockaway, NY, 11693",4161300035.0,1037192,153277
481,184,205.4,,,1,Weather-Strip Doors,$295,"$1,750",$0,,$80,$80,,5%,5.94,5.94,"202-03 Hollis Ave, Hollis, NY, 11412",Queens,"202-03 Hollis Ave, Hollis, NY, 11412",4109050035.0,1052006,196811
482,"17,327",0.0,,,2,Install Efficient Lighting & Controls,"$5,514","$11,260","$1,890",,"$42,293","$44,183",,472%,2.04,1.70,"202-03 Hollis Ave, Hollis, NY, 11412",Queens,"202-03 Hollis Ave, Hollis, NY, 11412",4109050035.0,1052006,196811
483,"1,711",370.7,,,3,Replace HVAC Equipment,$971,"$29,058","$2,000",,"-$19,738","-$18,238",,-67%,29.94,27.9,"202-03 Hollis Ave, Hollis, NY, 11412",Queens,"202-03 Hollis Ave, Hollis, NY, 11412",4109050035.0,1052006,196811
484,533,65.2,,,4,Install Programmable Thermostats,$245,$440,$0,,"$1,489","$1,489",,339%,1.80,1.80,"202-03 Hollis Ave, Hollis, NY, 11412",Queens,"202-03 Hollis Ave, Hollis, NY, 11412",4109050035.0,1052006,196811
485,0,39.3,,,5,Low Flow Aerators,$45,$40,$0,,$292,$292,,731%,0.89,0.89,"202-03 Hollis Ave, Hollis, NY, 11412",Queens,"202-03 Hollis Ave, Hollis, NY, 11412",4109050035.0,1052006,196811
486,0,194.2,0.0,,1,Building Envelope Weatherization,$335,"$1,688",$0,,$393,$393,,23%,5.04,5.04,"312 Fillmore St, Staten Island, NY, 10301",Staten Island,"312 Fillmore St, Staten Island, NY, 10301",5000720037.0,956877,173538
487,"2,381",0.0,0.0,,2,Install Efficient Lighting Equipment,$747,"$2,469",$615,,"$4,356","$4,971",,235%,3.31,2.48,"312 Fillmore St, Staten Island, NY, 10301",Staten Island,"312 Fillmore St, Staten Island, NY, 10301",5000720037.0,956877,173538
488,0,"-4,096.7","3,462.5",,3,Boiler Replacement with Fuel Conversion,"$4,316","$20,657",$320,,"$11,110","$11,430",,55%,4.79,4.71,"312 Fillmore St, Staten Island, NY, 10301",Staten Island,"312 Fillmore St, Staten Island, NY, 10301",5000720037.0,956877,173538
489,0,31.2,0.0,,4,Low Flow Sink Aerators,$54,$15,$0,,$382,$382,,2545%,0.28,0.28,"312 Fillmore St, Staten Island, NY, 10301",Staten Island,"312 Fillmore St, Staten Island, NY, 10301",5000720037.0,956877,173538
490,"1,656",0.0,0.0,,5,Refrigerator Replacements and Consolidation,$519,"$1,200",$200,,"$2,024","$2,224",,202%,2.31,1.93,"312 Fillmore St, Staten Island, NY, 10301",Staten Island,"312 Fillmore St, Staten Island, NY, 10301",5000720037.0,956877,173538
491,"7,729",0.0,,,1,Upgrade Lighting,"$2,761","$2,604",$500,,"$24,035","$24,535",,1143%,0.94,0.76,"15 Pike Street, Staten Island, NY, 10301",Staten Island,"15 Pike Street, Staten Island, NY, 10301",5000330001.0,961179,171178
492,564,0.1,,,2,Install Programmable Thermostats,$202,$220,$0,,"$1,371","$1,371",,623%,1.09,1.09,"15 Pike Street, Staten Island, NY, 10301",Staten Island,"15 Pike Street, Staten Island, NY, 10301",5000330001.0,961179,171178
493,861,0.0,,,3,DHW Improvements,$308,$76,$0,,"$1,641","$1,641",,2161%,0.25,0.25,"15 Pike Street, Staten Island, NY, 10301",Staten Island,"15 Pike Street, Staten Island, NY, 10301",5000330001.0,961179,171178
494,"3,754",0.0,,,1,Lighting Upgrades,"$1,385","$1,097",$280,,"$12,359","$12,639",,1547%,0.79,0.59,"584 Bloomindale Road, Staten Island, NY, 10309",Staten Island,"584 Bloomindale Road, Staten Island, NY, 10309",5072670101.0,923582,135882
495,78,0.1,,,2,Install Programmable Thermostats,$29,$220,$0,,$9,$9,,4%,7.57,7.57,"584 Bloomindale Road, Staten Island, NY, 10309",Staten Island,"584 Bloomindale Road, Staten Island, NY, 10309",5072670101.0,923582,135882
496,12,79.4,,,1,Door Weather-S tripping,$79,$320,$0,,$170,$170,,53%,4.06,4.06,"51-53 Van Duzer Street, Staten Island, NY, 10301",Staten Island,"51-53 Van Duzer Street, Staten Island, NY, 10301",5004980027.0,962843,171274
497,"1,561",0.0,,,2,Upgrade Lighting,$429,$896,$240,,"$3,274","$3,514",,536%,2.09,1.53,"51-53 Van Duzer Street, Staten Island, NY, 10301",Staten Island,"51-53 Van Duzer Street, Staten Island, NY, 10301",5004980027.0,962843,171274
498,211,135.0,,,3,Install Programmable Thermostats,$187,$440,$0,,"$1,031","$1,031",,234%,2.36,2.36,"51-53 Van Duzer Street, Staten Island, NY, 10301",Staten Island,"51-53 Van Duzer Street, Staten Island, NY, 10301",5004980027.0,962843,171274
499,"7,667",0.0,0.0,,1,Install Efficie nt Lighting & Controls,"$1,905","$4,245",,,"$13,862",,,327%,2.23,,"7033 Amboy Road, Staten Island, NY, 10307",Staten Island,"7033 Amboy Road, Staten Island, NY, 10307",5080080001.0,918594,127631
500,0,"-4,054.2","3,120.1",,2,Fue l Switch,"$4,037","$22,487",,,"$7,227",,,32%,5.57,,"7033 Amboy Road, Staten Island, NY, 10307",Staten Island,"7033 Amboy Road, Staten Island, NY, 10307",5080080001.0,918594,127631
501,0,0.0,224.6,,3,Install Programmable Thermostat,$690,$220,,,"$5,224",,,2375%,0.32,,"7033 Amboy Road, Staten Island, NY, 10307",Staten Island,"7033 Amboy Road, Staten Island, NY, 10307",5080080001.0,918594,127631
502,0,19.6,0.0,,4,Low Flow Aerators,$27,$15,,,$182,,,1216%,0.56,,"7033 Amboy Road, Staten Island, NY, 10307",Staten Island,"7033 Amboy Road, Staten Island, NY, 10307",5080080001.0,918594,127631
503,"19,174",,,,1,Install Efficient Lighting & Controls,"$5,667","$13,244","$1,145",,"$41,792","$42,937",,345%,2.34,2.14,"59 Wright Street, Staten Island, NY, 10304",Staten Island,"59 Wright Street, Staten Island, NY, 10304",5005210053.0,962575,167733
504,"8,408",,,,2,HVAC Replacement,"$2,485","$27,444",$0,,"$1,059","$1,059",,4%,11.04,11.04,"59 Wright Street, Staten Island, NY, 10304",Staten Island,"59 Wright Street, Staten Island, NY, 10304",5005210053.0,962575,167733
505,"1,635",,,,3,Vending Machine Controls,$483,$160,$0,,"$3,397","$3,397",,2123%,0.33,0.33,"59 Wright Street, Staten Island, NY, 10304",Staten Island,"59 Wright Street, Staten Island, NY, 10304",5005210053.0,962575,167733
506,"19,174",,,,1,Install Efficient Lighting & Controls,"$5,667","$13,244","$1,145",,"$41,792","$42,937",,345%,2.34,2.14,"51 Cottage Place, Staten Island, NY, 10302",Staten Island,"51 Cottage Place, Staten Island, NY, 10302",5010120001.0,948054,170955
507,"8,408",,,,2,HVAC Replacement,"$2,485","$27,444",$0,,"$1,059","$1,059",,4%,11.04,11.04,"51 Cottage Place, Staten Island, NY, 10302",Staten Island,"51 Cottage Place, Staten Island, NY, 10302",5010120001.0,948054,170955
508,"1,635",,,,3,Vending Machine Controls,$483,$160,$0,,"$3,397","$3,397",,2123%,0.33,0.33,"51 Cottage Place, Staten Island, NY, 10302",Staten Island,"51 Cottage Place, Staten Island, NY, 10302",5010120001.0,948054,170955
509,"3,564",0.0,,,1,Install Efficient Lighting,"$1,035",$743,$140,,"$9,313","$9,453",,1543%,0.72,0.58,"584 bay Street, Staten Island, NY, 10304",Staten Island,"584 bay Street, Staten Island, NY, 10304",5005210021.0,963041,167908
510,226,0.0,,,2,Motor Replacement,$66,$340,$0,,$298,$298,,88%,5.18,5.18,"584 bay Street, Staten Island, NY, 10304",Staten Island,"584 bay Street, Staten Island, NY, 10304",5005210021.0,963041,167908
511,225,88.3,,,3,Install Programmable The rmostat,$165,$220,$0,,"$1,077","$1,077",,490%,1.34,1.34,"584 bay Street, Staten Island, NY, 10304",Staten Island,"584 bay Street, Staten Island, NY, 10304",5005210021.0,963041,167908
512,"6,513",0.0,0.0,,1,Install Efficient Lighting & Controls,"$2,028","$3,124",$805,,"$16,574","$17,379",,715%,1.54,1.14,"117 Wright Street, Staten Island, NY, 10304",Staten Island,"117 Wright Street, Staten Island, NY, 10304",5005210079.0,962082,168080
513,0,"-3,483.8","2,872.6",,2,Boiler Fuel Switch,"$7,547","$30,651",$0,,"$55,908","$55,908",,182%,4.06,4.06,"117 Wright Street, Staten Island, NY, 10304",Staten Island,"117 Wright Street, Staten Island, NY, 10304",5005210079.0,962082,168080
514,0,324.3,0.0,,3,Programmable Thermostats,$381,$440,$0,,"$2,568","$2,568",,584%,1.15,1.15,"117 Wright Street, Staten Island, NY, 10304",Staten Island,"117 Wright Street, Staten Island, NY, 10304",5005210079.0,962082,168080
515,"1,635",0.0,0.0,,4,Vending Machine Controls,$509,$160,$0,,"$3,588","$3,588",,2243%,0.31,0.31,"117 Wright Street, Staten Island, NY, 10304",Staten Island,"117 Wright Street, Staten Island, NY, 10304",5005210079.0,962082,168080
516,"2,616",0.0,,,1,Install Efficient Lighting,$588,"$1,944",$455,,"$3,769","$4,224",,253%,3.30,2.53,"758 Arthur Kill Road, Staten Island, NY, 10312",Staten Island,"758 Arthur Kill Road, Staten Island, NY, 10312",5055330127.0,938036,143317
517,460,146.9,,,2,Install Programmable Thermostat,$253,$220,$0,,"$1,775","$1,775",,807%,0.87,0.87,"758 Arthur Kill Road, Staten Island, NY, 10312",Staten Island,"758 Arthur Kill Road, Staten Island, NY, 10312",5055330127.0,938036,143317
518,"5,870",0.0,,,3,"Install ECMs, Door Heater Controls, and Evaporator Fan Controls","$1,320","$6,143",$695,,"$4,922","$5,617",,90%,4.65,4.13,"758 Arthur Kill Road, Staten Island, NY, 10312",Staten Island,"758 Arthur Kill Road, Staten Island, NY, 10312",5055330127.0,938036,143317
